	C1	C2	C3	RA1	RA2	RA3	low
RP3-327A19.5	1.64575848574071	1.05580552698656	0.984668247911376	1.05580552698656	0.661214400536246	0.486988848897408	0.258268800696649
KIF6	0.914858917414016	1.57558705527592	1.18695069651386	0.723869050210676	1.30699868718118	0.57829910301728	0.258256887684238
AC012531.25	0.914858917414016	1.57558705527592	1.18695069651386	3.39473407696022	3.5753065420056	2.62490509841616	0.258256887684238
hsa-mir-6080	1.18695069651386	1.46074258072719	0.984668247911376	1.58572066645096	1.64575848574071	1.46562049846708	0.257223871165627
TAS2R15	1.11591583103055	1.12691317457364	1.35620314116122	1.18695069651386	1.81084152889585	0.651264711254521	0.256725956705252
AFAP1L1	1.38574790950074	1.24697876599835	0.984668247911376	0.723869050210676	1.24697876599835	1.52567499714602	0.255603790674718
RSPH3	1.46562049846708	0.975059047093975	1.18695069651386	2.14484432471905	1.92599381085735	2.02478854784886	0.254111029573495
IRF5	1.3265187257976	1.46074258072719	0.875330024405276	0.203792909992673	0.723869050210676	0.984668247911376	0.25408198834662
RP11-327P2.5	1.04486109044475	1.75569356743829	0.924441641335794	0.904746356797771	0.723869050210676	1.64575848574071	0.254002123860672
C7orf25	1.3265187257976	0.904746356797771	1.40555602074844	0.904746356797771	1.05580552698656	0.651264711254521	0.251457098562063
DIRAS3	1.13684416403195	1.39582762567272	1.05580552698656	0.844503676238798	0.995674114107001	0.723869050210676	0.248166473454954
RP11-1275H24.1	1.04486109044475	1.51553631170324	1.05580552698656	0.723869050210676	0.661214400536246	0.984668247911376	0.247161232567147
FAM66B	1.3265187257976	1.12691317457364	1.11591583103055	1.52567499714602	1.92599381085735	1.75569356743829	0.246083206823611
BEST1	1.25646308812664	0.904746356797771	1.46562049846708	1.70578929451543	1.46562049846708	1.18695069651386	0.245488391253743
RPL29P14	1.3265187257976	1.05580552698656	1.18695069651386	1.30699868718118	1.64575848574071	0.784215036228994	0.244416391530969
BTN3A3	1.11591583103055	0.975059047093975	1.52567499714602	1.18695069651386	1.52567499714602	1.40555602074844	0.243745791957585
RNU5E-1	1.25646308812664	1.05580552698656	1.24697876599835	1.18695069651386	1.12691317457364	1.34548020523597	0.242049770334928
C12orf60	1.25646308812664	1.05580552698656	1.24697876599835	0.486988848897408	0.723869050210676	1.52567499714602	0.242049770334928
UGT3A2	1.18695069651386	1.24697876599835	1.11591583103055	5.56375648721775	7.2319792055598	8.49572554483145	0.241308374324867
SYNDIG1	1.25646308812664	1.57558705527592	0.832848834549151	0.723869050210676	0.177023418598859	0.130815327212157	0.240461442523661
RP11-267J23.4	1.58572066645096	1.24697876599835	0.832848834549151	0.844503676238798	1.18695069651386	0.854621701571836	0.239900707577224
CTD-2331H12.5	1.13684416403195	1.12691317457364	1.28539143417813	0.651264711254521	0.473616952467551	1.40555602074844	0.239872878064311
