Gene,pval,qval
Vstm2a,1.83E-14,4.49E-13
Fgf4,1.86E-14,4.55E-13
Cfap58,1.86E-14,4.55E-13
Sertad4,1.96E-14,4.78E-13
Lrrc18,1.96E-14,4.78E-13
Hrk,2.00E-14,4.86E-13
Nxpe4,2.03E-14,4.93E-13
Ly75,2.03E-14,4.93E-13
Amdhd1,2.06E-14,4.99E-13
Ampd1,2.09E-14,5.07E-13
Aqp7,2.12E-14,5.11E-13
Nkx3-1,2.11E-14,5.11E-13
Sp100,2.21E-14,5.34E-13
Tap2,2.24E-14,5.40E-13
Ppp1r17,2.36E-14,5.67E-13
Pcp4,2.41E-14,5.78E-13
Krt24,2.47E-14,5.92E-13
Pcdh8,2.57E-14,6.16E-13
Fzd4,2.58E-14,6.16E-13
Gm12407,2.64E-14,6.30E-13
Ripply2,2.71E-14,6.46E-13
Gm17416,2.85E-14,6.79E-13
Zfp423,2.95E-14,7.02E-13
Fabp3,2.99E-14,7.10E-13
Nov,3.09E-14,7.33E-13
Crygs,3.15E-14,7.47E-13
Dppa3,3.43E-14,8.11E-13
Bdkrb1,3.50E-14,8.25E-13
Gbp6,3.63E-14,8.56E-13
Serpina12,3.79E-14,8.92E-13
Hoxa2,3.90E-14,9.17E-13
Akr1c18,3.91E-14,9.18E-13
Ttf2,3.95E-14,9.26E-13
Pgf,3.95E-14,9.26E-13
Myl3,3.97E-14,9.30E-13
H19,4.02E-14,9.38E-13
Galnt14,4.02E-14,9.38E-13
Map10,4.05E-14,9.44E-13
Olfml1,4.15E-14,9.65E-13
Hbb-bs,4.20E-14,9.76E-13
Slc9a4,4.33E-14,1.00E-12
AI464131,4.48E-14,1.04E-12
Bend6,4.66E-14,1.08E-12
Susd2,4.68E-14,1.08E-12
A730036I17Rik,4.72E-14,1.09E-12
Sh2d4a,4.92E-14,1.13E-12
Mbl2,4.94E-14,1.14E-12
Acvr1c,5.04E-14,1.16E-12
Ccl5,5.46E-14,1.25E-12
Slc13a1,5.60E-14,1.28E-12
Dctd,5.80E-14,1.33E-12
Stil,5.87E-14,1.34E-12
Ear2,5.98E-14,1.37E-12
Zfp770,6.40E-14,1.46E-12
1700016L21Rik,6.43E-14,1.46E-12
Oas1h,6.45E-14,1.47E-12
Rassf9,6.66E-14,1.51E-12
Tsga10,6.71E-14,1.52E-12
Muc13,6.75E-14,1.53E-12
S100a7a,6.79E-14,1.54E-12
Stox1,6.82E-14,1.54E-12
Serpina3h,6.85E-14,1.55E-12
Lefty1,7.21E-14,1.62E-12
Nfe2l3,7.66E-14,1.72E-12
Lrrtm4,7.71E-14,1.73E-12
1300017J02Rik,7.77E-14,1.74E-12
Wnt10a,7.82E-14,1.75E-12
Gsdmc4,7.89E-14,1.76E-12
Epx,8.13E-14,1.82E-12
Arap1,8.50E-14,1.90E-12
Fam168a,8.76E-14,1.95E-12
Snx25,8.85E-14,1.97E-12
Gm26507,8.88E-14,1.97E-12
Parp1,8.91E-14,1.98E-12
Fgf11,8.97E-14,1.99E-12
Alox5,9.13E-14,2.02E-12
Sult1e1,9.20E-14,2.04E-12
Lipt2,9.41E-14,2.08E-12
Mfsd2b,9.73E-14,2.15E-12
Slc22a18,9.83E-14,2.17E-12
Nefm,9.87E-14,2.17E-12
Gm16638,1.01E-13,2.23E-12
Mup4,1.03E-13,2.27E-12
Prdm4,1.04E-13,2.28E-12
Plch1,1.05E-13,2.29E-12
Ccr5,1.05E-13,2.29E-12
Scin,1.06E-13,2.31E-12
Nkd1,1.09E-13,2.38E-12
Gm10680,1.13E-13,2.46E-12
Gm5771,1.14E-13,2.49E-12
Oas1g,1.16E-13,2.51E-12
Neurl3,1.21E-13,2.63E-12
Zscan22,1.27E-13,2.76E-12
Strip2,1.31E-13,2.83E-12
Cldn6,1.31E-13,2.83E-12
C4bp,1.34E-13,2.89E-12
Stab1,1.43E-13,3.07E-12
Krt23,1.57E-13,3.37E-12
Chst14,1.60E-13,3.44E-12
AV064505,1.60E-13,3.44E-12
Ces2e,1.61E-13,3.45E-12
Ido1,1.68E-13,3.58E-12
Prss30,1.67E-13,3.58E-12
Rmst,1.78E-13,3.81E-12
Plxna1,1.79E-13,3.81E-12
Prr5,1.82E-13,3.88E-12
Sct,1.85E-13,3.95E-12
5430421N21Rik,1.87E-13,3.98E-12
Sgk1,1.93E-13,4.09E-12
Clca5,1.93E-13,4.10E-12
Lect1,1.95E-13,4.13E-12
Camk2b,1.96E-13,4.15E-12
Rora,1.97E-13,4.17E-12
Unc13b,1.98E-13,4.18E-12
Sdcbp2,1.99E-13,4.19E-12
Cd207,2.03E-13,4.27E-12
Hist1h4c,2.06E-13,4.34E-12
Speer7-ps1,2.23E-13,4.68E-12
Il1f5,2.33E-13,4.89E-12
Scrn1,2.35E-13,4.93E-12
Snca,2.38E-13,4.98E-12
Igll1,2.40E-13,5.01E-12
Ddx26b,2.50E-13,5.22E-12
Rhox12,2.52E-13,5.25E-12
Tmc3,2.53E-13,5.27E-12
Gm11423,2.54E-13,5.29E-12
Tmem200b,2.55E-13,5.30E-12
Nrg1,2.56E-13,5.30E-12
Tppp3,2.56E-13,5.30E-12
Avp,2.58E-13,5.33E-12
Nes,2.60E-13,5.37E-12
Kcnj3,2.63E-13,5.44E-12
Tslp,2.65E-13,5.46E-12
Slamf8,2.68E-13,5.53E-12
Fut10,2.70E-13,5.55E-12
P2ry10,2.72E-13,5.59E-12
Gm26700,2.79E-13,5.72E-12
Tpsb2,2.88E-13,5.90E-12
2300005B03Rik,2.89E-13,5.92E-12
Mc4r,2.94E-13,6.01E-12
Ppp1r16b,2.98E-13,6.08E-12
Il18r1,3.03E-13,6.17E-12
Zfp763,3.05E-13,6.22E-12
Tbc1d4,3.06E-13,6.23E-12
Klhl17,3.07E-13,6.23E-12
Clic3,3.07E-13,6.24E-12
Gm12873,3.16E-13,6.42E-12
Ly6f,3.38E-13,6.86E-12
Ighm,3.43E-13,6.93E-12
Slc11a1,3.63E-13,7.33E-12
Mvp,3.76E-13,7.59E-12
Bmp4,3.83E-13,7.73E-12
Samd5,3.93E-13,7.92E-12
Fat3,4.12E-13,8.29E-12
Hist2h2bb,4.17E-13,8.37E-12
Crtac1,4.18E-13,8.39E-12
Cr2,4.24E-13,8.50E-12
Gm17751,4.31E-13,8.62E-12
C430042M11Rik,4.32E-13,8.64E-12
Mcoln3,4.51E-13,9.02E-12
Cadps2,4.55E-13,9.09E-12
Gdap1l1,4.56E-13,9.09E-12
Nppb,4.62E-13,9.19E-12
Hamp2,4.63E-13,9.21E-12
Cyp4v3,4.96E-13,9.86E-12
Tmem169,5.03E-13,9.97E-12
Pkd1,5.07E-13,1.00E-11
P2ry14,5.17E-13,1.02E-11
Pygo1,5.22E-13,1.03E-11
Slc26a4,5.38E-13,1.06E-11
Hist3h2ba,5.42E-13,1.07E-11
Atp10b,5.47E-13,1.08E-11
Kctd14,5.52E-13,1.09E-11
Meox2,5.60E-13,1.10E-11
Xcl1,5.68E-13,1.11E-11
Vnn3,5.71E-13,1.12E-11
Lrrn1,6.01E-13,1.18E-11
5430427O19Rik,6.09E-13,1.19E-11
Gabrp,6.10E-13,1.19E-11
Klk14,6.20E-13,1.21E-11
Tnnc1,6.36E-13,1.24E-11
Ccr1,6.45E-13,1.26E-11
Clec12b,6.46E-13,1.26E-11
Klk1b16,6.51E-13,1.27E-11
Gm1553,6.76E-13,1.31E-11
Gabrd,7.00E-13,1.36E-11
Igfbp6,7.02E-13,1.36E-11
Hamp,7.09E-13,1.37E-11
Sprr2i,7.24E-13,1.40E-11
Gm13994,7.25E-13,1.40E-11
Ly6g6c,7.42E-13,1.43E-11
Tm6sf2,7.49E-13,1.44E-11
Nlgn1,7.58E-13,1.46E-11
Gucy1a2,7.75E-13,1.49E-11
Fam198b,7.96E-13,1.53E-11
Gm7325,8.09E-13,1.55E-11
Pomt1,8.15E-13,1.56E-11
Khdc1b,8.33E-13,1.59E-11
Deaf1,8.54E-13,1.63E-11
Gzmb,8.61E-13,1.64E-11
Kcnk2,8.72E-13,1.66E-11
Lrrc4c,8.80E-13,1.68E-11
Lcn6,8.84E-13,1.68E-11
Klhl41,8.86E-13,1.68E-11
Dsg4,8.92E-13,1.69E-11
Ednrb,9.14E-13,1.73E-11
Egr1,9.51E-13,1.80E-11
Cyp2f2,9.65E-13,1.82E-11
Slc7a3,9.73E-13,1.84E-11
Abcc8,9.77E-13,1.85E-11
Acsbg1,9.84E-13,1.86E-11
Adamts6,9.86E-13,1.86E-11
BC068281,1.01E-12,1.90E-11
A830080D01Rik,1.03E-12,1.94E-11
Tspan2,1.04E-12,1.96E-11
Peo1,1.05E-12,1.97E-11
Sept1,1.06E-12,1.98E-11
Upk1a,1.06E-12,1.98E-11
Cd7,1.08E-12,2.01E-11
Dnaic1,1.15E-12,2.15E-11
Defb3,1.15E-12,2.15E-11
Gm28806,1.18E-12,2.21E-11
Cenpf,1.20E-12,2.24E-11
Rad54l2,1.22E-12,2.26E-11
Ins2,1.23E-12,2.29E-11
Gm9992,1.28E-12,2.37E-11
Skida1,1.32E-12,2.44E-11
Cst9,1.32E-12,2.45E-11
Nfatc4,1.33E-12,2.45E-11
Slc39a4,1.34E-12,2.47E-11
BB218582,1.34E-12,2.47E-11
Wnt5b,1.34E-12,2.48E-11
Gucy2c,1.38E-12,2.55E-11
Trim63,1.39E-12,2.56E-11
Rgsl1,1.41E-12,2.59E-11
Epn3,1.45E-12,2.67E-11
Serpinb1b,1.47E-12,2.69E-11
Hgd,1.47E-12,2.69E-11
Defb1,1.47E-12,2.69E-11
Sez6l2,1.48E-12,2.70E-11
Adh1,1.50E-12,2.74E-11
Mylk3,1.55E-12,2.82E-11
Krt7,1.55E-12,2.83E-11
Ppp1r9a,1.59E-12,2.89E-11
Il1r2,1.60E-12,2.91E-11
Hdx,1.60E-12,2.91E-11
Hbb-bh1,1.63E-12,2.96E-11
4930404N11Rik,1.64E-12,2.98E-11
Pde1c,1.68E-12,3.05E-11
Gm28902,1.70E-12,3.08E-11
Spata7,1.76E-12,3.18E-11
Esam,1.78E-12,3.22E-11
Spink7,1.82E-12,3.28E-11
Sept6,1.87E-12,3.37E-11
Gnmt,1.92E-12,3.45E-11
Wfdc12,1.95E-12,3.51E-11
Cd68,1.96E-12,3.52E-11
Crh,1.96E-12,3.52E-11
Adh7,1.98E-12,3.55E-11
Gm20465,2.00E-12,3.59E-11
D3Ertd254e,2.04E-12,3.64E-11
Kdm4d,2.04E-12,3.64E-11
2810433D01Rik,2.06E-12,3.68E-11
Krt16,2.09E-12,3.72E-11
Lcn3,2.14E-12,3.80E-11
Ntn5,2.15E-12,3.83E-11
Kng1,2.19E-12,3.88E-11
Klk4,2.23E-12,3.95E-11
Lppr1,2.26E-12,4.00E-11
Gfod1,2.27E-12,4.01E-11
Lama5,2.36E-12,4.17E-11
Tenm3,2.36E-12,4.17E-11
Ankrd6,2.38E-12,4.19E-11
Cpne2,2.38E-12,4.19E-11
Zfp697,2.40E-12,4.23E-11
Fn1,2.45E-12,4.31E-11
Amtn,2.50E-12,4.40E-11
Slco4a1,2.51E-12,4.41E-11
Bbs7,2.63E-12,4.61E-11
Gstm7,2.64E-12,4.62E-11
Cela1,2.79E-12,4.89E-11
Gm5622,2.79E-12,4.89E-11
Gm12185,2.81E-12,4.91E-11
Kit,2.82E-12,4.93E-11
Mroh4,2.85E-12,4.97E-11
Gadd45g,2.86E-12,4.99E-11
Tifa,2.92E-12,5.09E-11
Pde9a,2.93E-12,5.09E-11
H2-D1,2.97E-12,5.16E-11
Cuzd1,2.98E-12,5.17E-11
Nr4a1,3.01E-12,5.22E-11
Hbb-bt,3.08E-12,5.33E-11
Cenpe,3.09E-12,5.34E-11
Ccno,3.11E-12,5.37E-11
Kifc3,3.14E-12,5.41E-11
F2,3.16E-12,5.46E-11
Nmrk1,3.17E-12,5.47E-11
Il9r,3.26E-12,5.60E-11
Cyp26b1,3.30E-12,5.67E-11
Prph,3.30E-12,5.67E-11
Fzd5,3.31E-12,5.68E-11
Fabp12,3.35E-12,5.75E-11
5930412G12Rik,3.36E-12,5.75E-11
Cd55,3.41E-12,5.83E-11
Tg,3.52E-12,6.02E-11
Slc28a2,3.56E-12,6.08E-11
Dusp2,3.57E-12,6.08E-11
Akr1c21,3.57E-12,6.08E-11
Nynrin,3.69E-12,6.28E-11
Hs3st5,3.72E-12,6.32E-11
Kmo,3.74E-12,6.35E-11
Shpk,3.77E-12,6.40E-11
Palb2,3.80E-12,6.44E-11
Lrrc26,3.90E-12,6.61E-11
Ripk3,4.01E-12,6.78E-11
Fas,4.04E-12,6.83E-11
Gm12758,4.12E-12,6.95E-11
Sprr2a1,4.15E-12,7.01E-11
Lrrc49,4.19E-12,7.06E-11
9430008C03Rik,4.20E-12,7.07E-11
Dclk1,4.26E-12,7.17E-11
Guca2b,4.30E-12,7.22E-11
Ccser1,4.40E-12,7.38E-11
Mmp23,4.42E-12,7.40E-11
Mmp12,4.41E-12,7.40E-11
Rad51ap1,4.61E-12,7.71E-11
Epgn,4.74E-12,7.93E-11
Arhgap25,4.75E-12,7.93E-11
Il27,4.75E-12,7.93E-11
Aicda,4.77E-12,7.95E-11
Psapl1,4.78E-12,7.97E-11
Gh,4.81E-12,8.01E-11
Hbb-y,5.02E-12,8.34E-11
Nin,5.06E-12,8.40E-11
Gm8773,5.13E-12,8.51E-11
Snx29,5.16E-12,8.55E-11
Apol7c,5.24E-12,8.68E-11
Mettl11b,5.49E-12,9.08E-11
1810062G17Rik,5.57E-12,9.21E-11
Zdbf2,5.60E-12,9.25E-11
Cst10,5.77E-12,9.51E-11
Trim46,5.77E-12,9.51E-11
Pus7,5.93E-12,9.76E-11
Gpr133,5.94E-12,9.77E-11
Col8a2,5.97E-12,9.81E-11
Syt8,5.98E-12,9.83E-11
5033430I15Rik,6.11E-12,1.00E-10
Apol11b,6.32E-12,1.04E-10
3110099E03Rik,6.39E-12,1.05E-10
Smarca1,6.45E-12,1.05E-10
Krt79,6.47E-12,1.06E-10
Chst1,6.57E-12,1.07E-10
Asb10,6.69E-12,1.09E-10
Pdcd1lg2,6.78E-12,1.10E-10
Cel,6.84E-12,1.11E-10
Defb19,6.88E-12,1.12E-10
Reg4,6.89E-12,1.12E-10
Dcn,6.90E-12,1.12E-10
Pck1,6.95E-12,1.13E-10
Espl1,7.07E-12,1.15E-10
Nos2,7.09E-12,1.15E-10
Foxf1,7.10E-12,1.15E-10
Lrcol1,7.13E-12,1.15E-10
Cd300a,7.14E-12,1.15E-10
Gm9974,7.32E-12,1.18E-10
Piwil4,7.44E-12,1.20E-10
Syt13,7.58E-12,1.22E-10
Zfp319,7.62E-12,1.22E-10
Gm11992,7.61E-12,1.22E-10
Dab2,7.72E-12,1.24E-10
Ago4,7.78E-12,1.25E-10
Wnt2,8.48E-12,1.36E-10
Ces2a,8.60E-12,1.38E-10
Zmat4,8.70E-12,1.39E-10
Cenpj,8.70E-12,1.39E-10
Sis,8.71E-12,1.39E-10
Wdfy3,8.94E-12,1.42E-10
Spink2,8.99E-12,1.43E-10
Gm27483,9.22E-12,1.47E-10
Bmx,9.22E-12,1.47E-10
Chga,9.23E-12,1.47E-10
Cd69,9.36E-12,1.49E-10
Mfsd8,9.61E-12,1.52E-10
Pantr1,9.66E-12,1.53E-10
Fam83f,9.70E-12,1.54E-10
1700028K03Rik,9.84E-12,1.55E-10
Thrsp,9.83E-12,1.55E-10
Lrrc8e,9.91E-12,1.56E-10
Uts2b,9.94E-12,1.57E-10
Gm15396,1.00E-11,1.58E-10
Fcer1g,1.00E-11,1.58E-10
Cdkn2c,1.01E-11,1.59E-10
Gm19557,1.01E-11,1.59E-10
Bik,1.02E-11,1.60E-10
Mup6,1.02E-11,1.60E-10
Acta2,1.04E-11,1.64E-10
Nppc,1.05E-11,1.64E-10
Ibsp,1.05E-11,1.64E-10
1700086L19Rik,1.07E-11,1.67E-10
Sh3d19,1.08E-11,1.68E-10
Eps8,1.10E-11,1.72E-10
Pde5a,1.15E-11,1.78E-10
Ankrd33b,1.15E-11,1.80E-10
Ckm,1.19E-11,1.85E-10
9530053A07Rik,1.19E-11,1.85E-10
Dclk3,1.19E-11,1.85E-10
Cd38,1.20E-11,1.86E-10
Shroom4,1.24E-11,1.92E-10
Gfra1,1.25E-11,1.94E-10
Otoa,1.29E-11,1.99E-10
Dusp15,1.29E-11,2.00E-10
C1qc,1.30E-11,2.01E-10
Slc41a2,1.30E-11,2.01E-10
Brinp3,1.31E-11,2.02E-10
Zfp248,1.32E-11,2.03E-10
Ctsk,1.34E-11,2.06E-10
Pthlh,1.34E-11,2.06E-10
Krt14,1.34E-11,2.06E-10
Gm5860,1.36E-11,2.09E-10
Tnni2,1.36E-11,2.09E-10
Fhad1,1.39E-11,2.13E-10
Il23a,1.40E-11,2.15E-10
Nid1,1.40E-11,2.15E-10
Il31,1.41E-11,2.16E-10
Ikzf2,1.43E-11,2.18E-10
Asb1,1.47E-11,2.25E-10
Gys2,1.48E-11,2.25E-10
Mtx3,1.48E-11,2.25E-10
Xpnpep2,1.49E-11,2.26E-10
Tnfrsf19,1.49E-11,2.27E-10
Dppa5a,1.53E-11,2.32E-10
Icam5,1.53E-11,2.32E-10
Trh,1.55E-11,2.36E-10
Trim45,1.64E-11,2.49E-10
Lyzl4,1.68E-11,2.54E-10
Fam181b,1.69E-11,2.56E-10
Ankrd45,1.71E-11,2.58E-10
Gm20628,1.72E-11,2.59E-10
Neurl1a,1.72E-11,2.60E-10
Serpinb3c,1.76E-11,2.64E-10
Rnd3,1.76E-11,2.65E-10
Slc7a7,1.80E-11,2.71E-10
Nipal2,1.80E-11,2.71E-10
Abcc4,1.83E-11,2.74E-10
Idi2,1.85E-11,2.78E-10
9630028H03Rik,1.89E-11,2.84E-10
Hba-x,1.90E-11,2.85E-10
Zfp280c,1.91E-11,2.86E-10
Dapl1,1.92E-11,2.87E-10
Defb42,1.92E-11,2.87E-10
Klk1b3,1.96E-11,2.92E-10
Gja4,1.98E-11,2.95E-10
Itgal,1.98E-11,2.95E-10
Kcnv1,1.99E-11,2.96E-10
Zfp61,2.01E-11,2.99E-10
Acvr1b,2.02E-11,3.01E-10
Gnb5,2.05E-11,3.04E-10
Vcan,2.07E-11,3.07E-10
Trim40,2.09E-11,3.09E-10
Sema3a,2.13E-11,3.15E-10
C3,2.14E-11,3.17E-10
Scgb1c1,2.16E-11,3.19E-10
Rab3b,2.16E-11,3.19E-10
Adtrp,2.20E-11,3.25E-10
C130026I21Rik,2.22E-11,3.28E-10
Notch3,2.26E-11,3.34E-10
Pdlim3,2.28E-11,3.35E-10
Epha4,2.30E-11,3.38E-10
Mir22hg,2.31E-11,3.39E-10
Zfp229,2.34E-11,3.43E-10
Dennd2c,2.35E-11,3.44E-10
Npat,2.35E-11,3.45E-10
Dock9,2.37E-11,3.47E-10
Aldh3a1,2.44E-11,3.57E-10
Hist1h3b,2.46E-11,3.59E-10
Ralgds,2.46E-11,3.60E-10
Nxpe2,2.48E-11,3.62E-10
B3gnt8,2.48E-11,3.62E-10
A930019D19Rik,2.50E-11,3.64E-10
Tead2,2.64E-11,3.84E-10
Zfp518b,2.64E-11,3.84E-10
Tram1l1,2.69E-11,3.90E-10
Pglyrp4,2.70E-11,3.93E-10
Eno2,2.71E-11,3.94E-10
Ero1lb,2.75E-11,3.98E-10
Skint8,2.76E-11,3.99E-10
Atp6v0a4,2.77E-11,4.01E-10
Fcer2a,2.80E-11,4.04E-10
Fbln7,2.81E-11,4.06E-10
Spock2,2.82E-11,4.07E-10
Htra3,2.83E-11,4.07E-10
2010109I03Rik,2.85E-11,4.10E-10
Hba-a2,2.88E-11,4.14E-10
Efcab8,2.88E-11,4.14E-10
Il23r,2.98E-11,4.28E-10
Zcchc3,3.03E-11,4.36E-10
Tstd1,3.04E-11,4.36E-10
Myh11,3.07E-11,4.40E-10
Asb17os,3.09E-11,4.42E-10
Arhgap35,3.12E-11,4.46E-10
Anks6,3.23E-11,4.62E-10
Camk1d,3.29E-11,4.69E-10
Sorcs3,3.30E-11,4.70E-10
Hoxb13,3.40E-11,4.85E-10
Abcd1,3.64E-11,5.19E-10
Prrc2b,3.72E-11,5.29E-10
Gm26527,3.72E-11,5.29E-10
N4bp1,3.74E-11,5.32E-10
Crybb3,3.87E-11,5.50E-10
RP23-346B12.4,3.95E-11,5.60E-10
Disp1,3.95E-11,5.60E-10
Chodl,4.01E-11,5.67E-10
Mettl17,4.04E-11,5.72E-10
Calca,4.09E-11,5.78E-10
2310015B20Rik,4.22E-11,5.97E-10
Rem1,4.31E-11,6.08E-10
Klk5,4.38E-11,6.18E-10
Mucl1,4.47E-11,6.30E-10
Cd36,4.62E-11,6.51E-10
Aspn,4.80E-11,6.75E-10
Krt81,4.87E-11,6.85E-10
Gli3,4.98E-11,7.00E-10
Arhgef3,4.99E-11,7.00E-10
Kif15,5.02E-11,7.04E-10
Hist1h2bj,5.07E-11,7.10E-10
Lrrtm3,5.09E-11,7.13E-10
Omt2a,5.16E-11,7.22E-10
Scgn,5.36E-11,7.49E-10
2200002J24Rik,5.37E-11,7.50E-10
Trex2,5.46E-11,7.62E-10
Gm15706,5.53E-11,7.71E-10
Il10ra,5.52E-11,7.71E-10
Sash3,5.63E-11,7.85E-10
Smoc2,5.71E-11,7.95E-10
Matn1,5.78E-11,8.02E-10
Lsm11,5.77E-11,8.02E-10
Slc39a5,5.83E-11,8.09E-10
Ocm,5.91E-11,8.19E-10
Tmem120b,6.00E-11,8.31E-10
Zhx3,6.04E-11,8.36E-10
E2f1,6.11E-11,8.45E-10
C2cd4b,6.18E-11,8.54E-10
Fam169a,6.19E-11,8.56E-10
Fbn2,6.25E-11,8.63E-10
L3hypdh,6.26E-11,8.63E-10
Zfp30,6.31E-11,8.69E-10
Pga5,6.34E-11,8.73E-10
Rdh12,6.47E-11,8.90E-10
1700006J14Rik,6.48E-11,8.91E-10
Drosha,6.50E-11,8.93E-10
Plcz1,6.54E-11,8.97E-10
Myl4,6.66E-11,9.14E-10
Sval1,6.71E-11,9.20E-10
Hip1,6.76E-11,9.26E-10
Gcfc2,6.95E-11,9.50E-10
Acss3,6.95E-11,9.50E-10
Entpd3,6.96E-11,9.51E-10
Fsd2,7.02E-11,9.58E-10
Nckipsd,7.04E-11,9.60E-10
Lmntd2,7.19E-11,9.79E-10
Lrmp,7.24E-11,9.86E-10
Cacna1s,7.29E-11,9.92E-10
Syn2,7.32E-11,9.95E-10
RP23-211F21.1,7.36E-11,1.00E-09
Tacc2,7.39E-11,1.00E-09
Cxxc4,7.57E-11,1.03E-09
Rasl11b,7.57E-11,1.03E-09
Sparcl1,7.61E-11,1.03E-09
Akr1b8,7.67E-11,1.04E-09
Pnmt,7.66E-11,1.04E-09
Mettl18,7.74E-11,1.05E-09
Ms4a10,7.99E-11,1.08E-09
Zfp72,8.08E-11,1.09E-09
Mctp1,8.44E-11,1.14E-09
Arsb,8.45E-11,1.14E-09
Barx1,8.60E-11,1.16E-09
Gadd45b,8.81E-11,1.18E-09
4930550C14Rik,8.90E-11,1.20E-09
Oas1c,8.93E-11,1.20E-09
Ccsap,8.99E-11,1.21E-09
Gm26751,9.02E-11,1.21E-09
Try5,9.25E-11,1.24E-09
Cad,9.41E-11,1.26E-09
Gm12655,9.46E-11,1.26E-09
Gm16212,9.71E-11,1.30E-09
Agtr2,9.85E-11,1.31E-09
Zbtb25,9.95E-11,1.33E-09
Abhd2,1.00E-10,1.33E-09
Phf19,1.00E-10,1.34E-09
Dbn1,1.02E-10,1.36E-09
Gm26592,1.03E-10,1.37E-09
Ppp1r3b,1.04E-10,1.38E-09
1700023H06Rik,1.04E-10,1.39E-09
2610307P16Rik,1.05E-10,1.39E-09
Spink5,1.05E-10,1.39E-09
Gpr83,1.06E-10,1.40E-09
Hist1h3c,1.06E-10,1.40E-09
6330419J24Rik,1.06E-10,1.40E-09
Crp,1.06E-10,1.40E-09
Ttc38,1.07E-10,1.42E-09
Chst8,1.08E-10,1.43E-09
Alox12b,1.12E-10,1.48E-09
Hist1h2ai,1.12E-10,1.48E-09
Cyp26a1,1.17E-10,1.54E-09
Tmem8c,1.19E-10,1.56E-09
Prom1,1.22E-10,1.60E-09
Pmepa1,1.23E-10,1.62E-09
Krt83,1.24E-10,1.63E-09
Il1rl2,1.25E-10,1.64E-09
Apln,1.27E-10,1.66E-09
Rps6kl1,1.27E-10,1.66E-09
Mpdz,1.30E-10,1.70E-09
Dppa1,1.31E-10,1.71E-09
Fam69b,1.32E-10,1.72E-09
Inmt,1.32E-10,1.73E-09
Usp28,1.35E-10,1.76E-09
1810046K07Rik,1.35E-10,1.76E-09
Acss1,1.36E-10,1.77E-09
Osbpl6,1.37E-10,1.78E-09
9130020K20Rik,1.40E-10,1.83E-09
Gm4409,1.40E-10,1.83E-09
Dnase1l3,1.41E-10,1.83E-09
Gm4951,1.41E-10,1.83E-09
Gm12979,1.41E-10,1.83E-09
Slc35f3,1.43E-10,1.86E-09
Defb25,1.44E-10,1.87E-09
Rai14,1.44E-10,1.87E-09
Nova2,1.47E-10,1.90E-09
2310007B03Rik,1.47E-10,1.90E-09
Zfp12,1.51E-10,1.95E-09
Sftpd,1.53E-10,1.97E-09
Gal3st3,1.57E-10,2.02E-09
Nodal,1.58E-10,2.03E-09
Cecr6,1.59E-10,2.05E-09
Slc22a3,1.61E-10,2.07E-09
Pld1,1.61E-10,2.07E-09
Kdm5d,1.64E-10,2.10E-09
Slc6a12,1.64E-10,2.10E-09
Wnt5a,1.65E-10,2.11E-09
Cntn6,1.65E-10,2.11E-09
A730032A03Rik,1.66E-10,2.13E-09
Cilp,1.67E-10,2.13E-09
Zscan12,1.68E-10,2.15E-09
Csmd1,1.69E-10,2.16E-09
4930538E20Rik,1.73E-10,2.21E-09
Zfp618,1.74E-10,2.22E-09
Slc38a3,1.74E-10,2.22E-09
Kcnk5,1.77E-10,2.25E-09
Fndc4,1.77E-10,2.26E-09
Ptplad2,1.79E-10,2.28E-09
Cyb5d2,1.82E-10,2.31E-09
Lamb3,1.86E-10,2.36E-09
Usp42,1.86E-10,2.36E-09
Eva1c,1.88E-10,2.39E-09
Trim32,1.89E-10,2.39E-09
Gnai1,1.89E-10,2.39E-09
1600002H07Rik,1.90E-10,2.41E-09
D030068K23Rik,1.91E-10,2.41E-09
Gm21967,1.91E-10,2.42E-09
RP23-14O16.2,1.92E-10,2.42E-09
Ggt1,1.93E-10,2.43E-09
Snap25,1.93E-10,2.43E-09
Dock8,1.94E-10,2.45E-09
Ryr3,2.03E-10,2.56E-09
Tlr2,2.05E-10,2.57E-09
Cidea,2.07E-10,2.60E-09
Fcrla,2.08E-10,2.61E-09
H2-T23,2.09E-10,2.62E-09
Ccdc68,2.13E-10,2.68E-09
Bpifb2,2.15E-10,2.69E-09
Pgbd5,2.16E-10,2.70E-09
Slc5a5,2.18E-10,2.73E-09
RP24-179O3.1,2.21E-10,2.76E-09
9530052C20Rik,2.21E-10,2.76E-09
Slc16a12,2.23E-10,2.78E-09
Sugp1,2.24E-10,2.79E-09
A2m,2.25E-10,2.80E-09
Wdr93,2.24E-10,2.80E-09
Smim6,2.24E-10,2.80E-09
Gip,2.30E-10,2.87E-09
Scd1,2.31E-10,2.87E-09
Tnfrsf11a,2.33E-10,2.90E-09
Serping1,2.36E-10,2.93E-09
Hsf2bp,2.36E-10,2.93E-09
Gm26892,2.39E-10,2.97E-09
B4galnt1,2.42E-10,2.99E-09
1700007B14Rik,2.47E-10,3.05E-09
BC021614,2.48E-10,3.07E-09
Vil1,2.49E-10,3.08E-09
Il10,2.49E-10,3.08E-09
Wdr86,2.51E-10,3.10E-09
Galc,2.59E-10,3.19E-09
Cftr,2.63E-10,3.24E-09
