Gene,pval,qval
Zbtb21,0.000361672,0.001310457
Marf1,0.000362378,0.001312738
Chrdl1,0.000362731,0.00131374
Gm11808,0.000363072,0.001314697
Atp12a,0.000363528,0.001316072
Bmp5,0.000364204,0.001318241
Parp9,0.000364571,0.00131929
Taco1os,0.000365983,0.00132412
Rab3il1,0.000366405,0.001325368
Gm12191,0.000366794,0.001326493
Atp6v0d2,0.000366968,0.001326844
Star,0.000368124,0.001330742
Gm6969,0.000368308,0.001331126
Dscam,0.000368551,0.001331726
Etaa1,0.000371502,0.001342103
Rhag,0.000371836,0.001343027
C230035I16Rik,0.000372495,0.001345125
Gusb,0.000372837,0.001346077
Plxnb2,0.000373018,0.001346446
Adra2c,0.000374365,0.001351023
Col4a2,0.000375881,0.001356211
Stx3,0.000377801,0.001362849
Ficd,0.000377965,0.001363155
Zfp74,0.000378357,0.001364281
Dhx38,0.000378665,0.001365106
Slc17a9,0.000379425,0.001367558
Gm13554,0.000381102,0.001373313
Pnliprp1,0.000383314,0.001380992
Knstrn,0.000386842,0.001393411
Tmem198,0.000387305,0.001394787
Cenpt,0.000388155,0.001397555
Srpx,0.000388318,0.001397847
Pim2,0.000391133,0.001407686
Fmnl1,0.000391361,0.001408208
Ampd2,0.000391962,0.001410078
Dnajc17,0.00039325,0.001414412
Slc36a1,0.000393633,0.001415493
5031434O11Rik,0.000394161,0.001417096
Gm28449,0.000394881,0.001419387
D730045B01Rik,0.000395017,0.001419578
Dync2h1,0.000397829,0.001429382
Atf7,0.000397958,0.001429547
Skint11,0.00039908,0.001433277
Arhgap18,0.000399269,0.001433656
Eri2,0.000399839,0.0014354
Tmem106a,0.00039994,0.001435465
Tnfsf13,0.000400703,0.001437902
Zfp27,0.000401326,0.001439836
Oxt,0.000401482,0.001440092
Map1b,0.000403402,0.001446676
Lancl3,0.000406444,0.001457282
Slc22a4,0.00040777,0.00146173
Adamts3,0.000408397,0.00146367
E030037K01Rik,0.000408978,0.001465447
Syt5,0.000409361,0.001466515
Sec11c,0.000410755,0.001471201
Zfp553,0.000410921,0.001471486
Pitpnc1,0.000411478,0.001473174
Peli2,0.000411649,0.001473479
Ptgfrn,0.00041207,0.001474676
Igfbp4,0.000413692,0.001480174
Homer1,0.000414244,0.001481838
Wdtc1,0.000416634,0.001490077
Ddx59,0.000416804,0.001490373
Gm12828,0.000419031,0.001498027
Mapk7,0.000420263,0.001502117
Sall2,0.000420502,0.001502658
Fam53b,0.000420637,0.001502827
Dact3,0.000423359,0.001512237
Ncald,0.000424709,0.001516743
BC065397,0.00042976,0.001534461
Vps18,0.000431048,0.00153874
Gpr85,0.000431224,0.001539048
1700013F07Rik,0.000431457,0.001539396
Bcr,0.000431501,0.001539396
Zdhhc8,0.000431607,0.001539454
Ccdc15,0.000432053,0.001540723
Ybey,0.000436354,0.001555735
Rapgef1,0.000436581,0.001556223
Fam124b,0.000437182,0.001557891
Gzmc,0.000437231,0.001557891
Tbc1d30,0.000438877,0.00156343
Gm17296,0.000440875,0.001570222
Cic,0.000441233,0.001570844
Ifi30,0.000441142,0.001570844
RP24-127E11.2,0.000442332,0.001574429
B020004C17Rik,0.000442784,0.001575713
Psd3,0.000443445,0.001577738
Pelo,0.000444054,0.001579577
Slc23a2,0.000444208,0.001579794
Smpd3,0.00044542,0.001583777
Gm20603,0.000446051,0.00158569
RP23-444I6.3,0.000446517,0.00158702
Enah,0.000447497,0.001589821
Thap1,0.000447626,0.001589821
Asic2,0.000447552,0.001589821
Nutf2-ps1,0.000447676,0.001589821
Spin2c,0.000449178,0.001594825
Ptprz1,0.000451834,0.00160392
A330041J22Rik,0.000452201,0.001604894
Ush1c,0.000453019,0.001606847
Arhgap17,0.000453033,0.001606847
Helb,0.000452995,0.001606847
Pcdh18,0.000455092,0.001613815
Prpf40b,0.000456555,0.001618669
Clcnka,0.000456989,0.001619872
Tbc1d2b,0.000457574,0.00162161
Ext1,0.000458949,0.001626149
Gm26538,0.00046062,0.00163173
Golga4,0.0004616,0.001634867
Hsd17b11,0.000462075,0.00163621
